TARIH	POS	BARCODE	TUTAR	MIKTAR	ID	FK_TRANSACTION_HEADER	LINE_NO	STATUS	FK_SELLER	FK_DEPARTMENT_VAT	VAT_PERCENT	AMOUNT	FK_UNIT	UNIT_PRICE	ORG_UNIT_PRICE	FK_PAYMENT_TYPE	CURRENCY_UNIT_PRICE	TOTAL_PRICE	DEFAULT_RETURN_PRICE	VAT_TOTAL	DISCOUNT_TOTAL	INDIRECT_DISCOUNT_TOTAL	CAMPAIGN_DISCOUNT	CHEQUE_DISCOUNT	ROUNDING_TOTAL	SALE_TYPE	FK_PRICE_CHANGE_REASON	FK_STOCK_CARD	BARCODE	CODE	DESCRIPTION	PRICE_CHANGED	KEY_USED	STOCK_CODE_USED	KOMANDATURA	POINT_TOTAL	CUSTOM_TEXT	FK_RETURN_REASON	FK_RETURN_REASON_USER	FIRST_PRICE	DISCOUNT_FLAG	OPTION_BITFLAG	CREATE_DATE	FK_USER_CREATE	MODIFY_DATE	FK_USER_MODIFY	FK_STORE_LU	FK_STORE_LS	UPDATESEQ	RETURNABLE_AMOUNT
2026-01-03	24	2182990013074	44,90	1	20040020053027	20040020002528	1	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:48:00.000	0	2026-01-03 11:48:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053028	20040020002528	2	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:48:00.000	0	2026-01-03 11:48:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690504012139	44,90	2	20040020053070	20040020002528	44	0	-1	2	5	2	1	22,45	22,45	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	16052	8690504012139	8690504012139	ULKER HANIMELLER COK	0	0	1	1	0		0	0	22,45	1	0	2026-01-03 11:48:00.000	0	2026-01-03 11:48:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020053135	20040020002531	22	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:56:00.000	0	2026-01-03 11:56:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053136	20040020002531	23	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:56:00.000	0	2026-01-03 11:56:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053137	20040020002531	24	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:56:00.000	0	2026-01-03 11:56:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020053138	20040020002531	25	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 11:56:00.000	0	2026-01-03 11:56:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053184	20040020002535	30	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 12:04:00.000	0	2026-01-03 12:04:00.000	0	20004	20004	1	0,00
2026-01-03	24	8697298011683	44,99	1	20040020053231	20040020002537	19	0	-1	8	0	1	1	44,99	44,99	1	0,00	44,99	44,99	0,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000021371	8697298011683	8697298011683	GULGUN YARIM YAGLI S	0	0	1	1	0		0	0	44,99	1	0	2026-01-03 12:09:00.000	0	2026-01-03 12:09:00.000	0	20004	20004	1	0,00
2026-01-03	24	8697298011683	44,99	1	20040020053232	20040020002537	20	0	-1	8	0	1	1	44,99	44,99	1	0,00	44,99	44,99	0,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000021371	8697298011683	8697298011683	GULGUN YARIM YAGLI S	0	0	1	1	0		0	0	44,99	1	0	2026-01-03 12:09:00.000	0	2026-01-03 12:09:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053236	20040020002537	24	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 12:09:00.000	0	2026-01-03 12:09:00.000	0	20004	20004	1	0,00
2026-01-03	24	237	44,98	0,45	20040020053406	20040020002547	11	0	-1	8	0	0,45	2	99,95	99,95	1	0,00	44,98	44,98	0,00	0,00	0,00	0,00	0,00	0,00	0	0	3835	237	237	DOMATES CHERRY	0	0	1	1	0		0	0	99,95	1	0	2026-01-03 12:43:00.000	0	2026-01-03 12:43:00.000	0	20004	20004	1	0,00
2026-01-03	24	8699421200612	44,80	1	20040020053472	20040020002553	33	0	-1	4	16	1	1	44,80	44,80	1	0,00	44,80	44,80	6,18	0,00	0,00	0,00	0,00	0,00	0	0	20200000017209	8699421200612	8699421200612	MYDEN DESENLI MASRAP	0	0	1	1	0		0	0	44,80	1	0	2026-01-03 12:58:00.000	0	2026-01-03 12:58:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053480	20040020002554	1	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 12:59:00.000	0	2026-01-03 12:59:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053481	20040020002554	2	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 12:59:00.000	0	2026-01-03 12:59:00.000	0	20004	20004	1	0,00
2026-01-03	24	9786058376625	44,50	1	20040020053611	20040020002555	129	0	-1	4	16	1	1	44,50	44,50	1	0,00	44,50	44,50	6,14	0,00	0,00	0,00	0,00	0,00	0	0	20040020000215	9786058376625	9786058376625	RENKLERLE OGRENIYORU	0	0	1	1	0		0	0	44,50	1	0	2026-01-03 13:08:00.000	0	2026-01-03 13:08:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053628	20040020002556	2	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:11:00.000	0	2026-01-03 13:11:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020053630	20040020002556	4	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:11:00.000	0	2026-01-03 13:11:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020053649	20040020002557	3	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:14:00.000	0	2026-01-03 13:14:00.000	0	20004	20004	1	0,00
2026-01-03	24	2903088	44,45	1,484	20040020053699	20040020002559	14	0	-1	8	0	1,484	2	29,95	29,95	1	0,00	44,45	44,45	0,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000055784	2903088	2903088	E LER PILIC KEMIK KG	0	0	1	1	0		0	0	29,95	1	0	2026-01-03 13:24:00.000	0	2026-01-03 13:24:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053894	20040020002569	26	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:51:00.000	0	2026-01-03 13:51:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020053901	20040020002569	33	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:51:00.000	0	2026-01-03 13:51:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020053902	20040020002569	34	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 13:51:00.000	0	2026-01-03 13:51:00.000	0	20004	20004	1	0,00
2026-01-03	24	2010570000827	44,90	1	20040020054055	20040020002580	1	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	2564	2010570000827	2010570000827	ERULKU SANDVIC EKMEG	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 14:16:00.000	0	2026-01-03 14:16:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054104	20040020002583	2	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 14:25:00.000	0	2026-01-03 14:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2014190000106	44,35	1	20040020054124	20040020002583	22	0	-1	8	0	1	1	44,35	44,35	1	0,00	44,35	44,35	0,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000000988	2014190000106	2014190000106	VALIDEM PILAVLIK PIR	0	0	1	1	0		0	0	44,35	1	0	2026-01-03 14:25:00.000	0	2026-01-03 14:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2014190000106	44,35	1	20040020054125	20040020002583	23	0	-1	8	0	1	1	44,35	44,35	1	0,00	44,35	44,35	0,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000000988	2014190000106	2014190000106	VALIDEM PILAVLIK PIR	0	0	1	1	0		0	0	44,35	1	0	2026-01-03 14:25:00.000	0	2026-01-03 14:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2010570000834	44,90	1	20040020054232	20040020002585	52	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	2565	2010570000834	2010570000834	ERULKU HAMBURGER EKM	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 14:40:00.000	0	2026-01-03 14:40:00.000	0	20004	20004	1	0,00
2026-01-03	24	8693354001346	44,25	1	20040020054237	20040020002585	57	0	-1	7	10	1	1	44,25	44,25	1	0,00	44,25	44,25	4,02	0,00	0,00	0,00	0,00	0,00	0	0	20200000051768	8693354001346	8693354001346	DOGANAY LIMONATA 1L	0	0	1	1	0		0	0	44,25	1	0	2026-01-03 14:40:00.000	0	2026-01-03 14:40:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054374	20040020002586	35	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 14:49:00.000	0	2026-01-03 14:49:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054545	20040020002594	23	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:12:00.000	0	2026-01-03 15:12:00.000	0	20004	20004	1	0,00
